model,calibration_n,analysis_n,effect_sigma,w_over_sigma,trials,timing_shared_width_sigma,timing_local_width_sigma,false_admission,missed_effect,coverage,decision_coverage,floor_predictive_coverage,refusal,equiv_admission,equiv_refusal,component_dominance,joint12_dominance,median_r,median_guarded_floor_sigma
linear_drift,5,30,0.0,0.5,30,0.0,0.5,0.0,,0.5166666666666667,0.8944444444444445,1.0,1.0,0.002777777777777778,0.9972222222222222,0.008333333333333333,0.0,1.4020282027915139,8.254284750816007
linear_drift,5,30,2.0,0.5,30,0.0,0.5,,1.0,0.5777777777777777,0.9305555555555556,1.0,1.0,0.002777777777777778,0.9972222222222222,0.022222222222222223,0.0,1.4013266587617714,8.356063352882611
linear_drift,5,30,5.0,0.5,30,0.0,0.5,,0.9611111111111111,0.525,0.8888888888888888,1.0,0.9611111111111111,0.0,0.9944444444444445,0.03888888888888889,0.0,1.4138596113638806,8.132476867499719
linear_drift,5,10,0.0,1.0,30,0.0,1.0,0.0,,0.8305555555555556,0.9972222222222222,1.0,1.0,0.0,1.0,0.29444444444444445,0.0,1.8380631723102807,10.634380652364879
linear_drift,5,10,2.0,1.0,30,0.0,1.0,,1.0,0.7972222222222223,1.0,1.0,1.0,0.0,1.0,0.33611111111111114,0.0,1.8670944654710802,10.405732946543974
linear_drift,5,10,5.0,1.0,30,0.0,1.0,,1.0,0.7833333333333333,0.9944444444444445,1.0,1.0,0.0,1.0,0.33611111111111114,0.0,1.8606407612334057,10.503265755850663
linear_drift,5,30,0.0,1.0,30,0.0,1.0,0.0,,0.5833333333333334,0.9944444444444445,1.0,1.0,0.0,1.0,0.3416666666666667,0.0,1.8331399540366817,10.599814481154402
linear_drift,5,30,2.0,1.0,30,0.0,1.0,,1.0,0.5694444444444444,0.9972222222222222,1.0,1.0,0.0,1.0,0.3111111111111111,0.0,1.8421282955341773,10.608086206181923
linear_drift,5,30,5.0,1.0,30,0.0,1.0,,1.0,0.5805555555555556,1.0,1.0,1.0,0.0,1.0,0.33611111111111114,0.0,1.8727287428169868,10.372021499657405
linear_drift,5,10,0.0,2.0,30,0.0,2.0,0.0,,0.7944444444444444,1.0,1.0,1.0,0.0,1.0,0.9555555555555556,0.6666666666666666,2.728418853009085,15.684337356462997
