PID  PPID STARTED                           TIME COMM
  596     1 Fri Sep 18 17:41:20 2026       0:24.34 /usr/sbin/cfprefsd
  597     1 Fri Sep 18 17:41:20 2026       0:03.94 /usr/sbin/distnoted
  599     1 Fri Sep 18 17:41:20 2026       0:15.59 /usr/libexec/secd
  600     1 Fri Sep 18 17:41:20 2026       0:00.05 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  602     1 Fri Sep 18 17:41:20 2026       0:03.84 /usr/sbin/distnoted
  603     1 Fri Sep 18 17:41:20 2026       0:00.04 /System/Library/CoreServices/sharedfilelistd
  604     1 Fri Sep 18 17:41:20 2026       0:00.80 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  605     1 Fri Sep 18 17:41:20 2026       0:00.04 /usr/sbin/BTLEServer
  606     1 Fri Sep 18 17:41:20 2026       0:49.02 /usr/libexec/UserEventAgent
  607     1 Fri Sep 18 17:41:20 2026       0:05.73 /usr/libexec/gamecontrollerd
  608     1 Fri Sep 18 17:41:20 2026       0:00.49 /usr/libexec/seld
  609     1 Fri Sep 18 17:41:20 2026       0:00.32 /usr/libexec/uarpd
  611     1 Fri Sep 18 17:41:20 2026       0:00.93 /System/Library/CoreServices/audioaccessoryd
  612     1 Fri Sep 18 17:41:20 2026       0:14.87 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  613     1 Fri Sep 18 17:41:20 2026       0:04.77 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  614     1 Fri Sep 18 17:41:20 2026       0:02.60 /usr/libexec/knowledge-agent
  615     1 Fri Sep 18 17:41:20 2026       0:04.59 /usr/sbin/universalaccessd
  616     1 Fri Sep 18 17:41:20 2026       0:02.85 /usr/libexec/rapportd
  617     1 Fri Sep 18 17:41:20 2026       0:05.05 /usr/libexec/containermanagerd
  618     1 Fri Sep 18 17:41:20 2026       0:04.83 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  619     1 Fri Sep 18 17:41:20 2026       0:00.83 /usr/libexec/findmydeviced
  620     1 Fri Sep 18 17:41:20 2026       0:00.35 /usr/libexec/pboard
  621     1 Fri Sep 18 17:41:20 2026       0:00.63 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
  622     1 Fri Sep 18 17:41:20 2026       0:04.09 /usr/libexec/lsd
  623     1 Fri Sep 18 17:41:20 2026       0:00.72 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  624     1 Fri Sep 18 17:41:20 2026       0:17.49 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  625     1 Fri Sep 18 17:41:20 2026       0:10.55 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  626     1 Fri Sep 18 17:41:20 2026       0:00.20 /usr/libexec/findmydevice-user-agent
  627     1 Fri Sep 18 17:41:20 2026       0:07.92 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
